"Sr.No.","Folder Name","Link "
"1","All Dictionary Videos","https://drive.google.com/drive/folders/1U-Pr4r1-cupgNOOq9NH_uTsQnPSVEKco"
"2","A","https://drive.google.com/drive/folders/1nkI7lddegUWDvmGsmn68QkB5ikp5_3kt?usp=drive_link"
"3","B","https://drive.google.com/drive/folders/1S-G5qoWth0aI9fLzKs8Myv2LyMrq8jUh?usp=drive_link"
"4","C","https://drive.google.com/drive/folders/1iZvUpDh5gtzoRmQKWAVfCOe8iWEjzS2S?usp=drive_link"
"5","D","https://drive.google.com/drive/folders/1aQywSGpfHXOdM1pfs2rfqU3Y_ScLXRjh?usp=drive_link"
"6","E","https://drive.google.com/drive/folders/13pJC91P8ligEXJh7ZcVbdOdBv8OM7ugw?usp=drive_link"
"7","F","https://drive.google.com/drive/folders/1uwjIG-hYqxYTURtWMEpmCc9NzV13uz-S?usp=drive_link"
"8","G","https://drive.google.com/drive/folders/1_jxELuDPMQb67NM6woqcdcn5QWd2mVeC?usp=drive_link"
"9","H","https://drive.google.com/drive/folders/1BL9C7zyFAcRQg-DsM-CiIjsoFMbSvTCt?usp=drive_link"
"10","I","https://drive.google.com/drive/folders/1K6eUYZLdCRh21Ecxx9wcsAJ3HP7jd4CI?usp=drive_link"
"11","J","https://drive.google.com/drive/folders/198cCQXlwdAwmxabGVvXMZKQ-lnDclO37?usp=drive_link"
"12","K","https://drive.google.com/drive/folders/1rXKlSTKyWJNqDL6-lupJuufMUZW7Zunc?usp=drive_link"
"13","L","https://drive.google.com/drive/folders/1MbKLv9fBdLUPE4-PrSbSGBCnudtuKRTg?usp=drive_link"
"14","M","https://drive.google.com/drive/folders/1qDHOYx4Eijrgo3cZHucMIlPRKgcK__8Z?usp=drive_link"
"15","N","https://drive.google.com/drive/folders/1UUeBYdHraz86n9wgJG2HR4-gfMuO6o8e?usp=drive_link"
"16","O","https://drive.google.com/drive/folders/1FZVV2snPZAR9_Zcy-XEo15cKgcVbMiUM?usp=drive_link"
"17","P","https://drive.google.com/drive/folders/1hR6GnLjEj8_I5UPDJg3ZE0oQDzCnzXFy?usp=drive_link"
"18","Q","https://drive.google.com/drive/folders/1Q6BYTJRyUElN6XCKrU9RXW2YzHGICPUA?usp=drive_link"
"19","R","https://drive.google.com/drive/folders/1Zkr_CW-PmeGFjmJRmjA-lYubIVnFyb7o?usp=drive_link"
"20","S","https://drive.google.com/drive/folders/1EQaicx76vWxgQwSosFQcAbrzgePEwPYN?usp=drive_link"
"21","T","https://drive.google.com/drive/folders/1QcM74V2Q4OGRzDhZrP_ULHd5W4XgzmPw?usp=drive_link"
"22","U","https://drive.google.com/drive/folders/1g9DxvHVMcoID1PhbvR8kJ5Mhq921hDcM?usp=drive_link"
"23","V","https://drive.google.com/drive/folders/1hdhswMEW2FbBhi4GPgYsTBrhThpuSoNK?usp=drive_link"
"24","W","https://drive.google.com/drive/folders/1JMWkAryDQ074isVeD0_umJfFHOhb3f6t?usp=drive_link"
"25","X","https://drive.google.com/drive/folders/1t4mOWrTel2OXS76RX7b9X2Gf-6MqmrFp?usp=drive_link"
"26","Y","https://drive.google.com/drive/folders/1wiWGUBD_R_KobXRAE3Erpp7XUZrUuYNb?usp=drive_link"
"27","Z","https://drive.google.com/drive/folders/1cTyPjYRqrBTG2cEHQNXd4oRGkp9HtY4M?usp=drive_link"
